"","USGS_GAGE","COMID","STATION_NA","Water_Year","Q1","Q2","Q3","Mean_Annual_Flow","WYT","POR_avg_annual_flow","Count_water_months","Count_monthlyavg"
"1","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1951,3,4,7,2,"Dry",7.04545454545455,3,198
"2","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1952,3,4,7,4.66666666666667,"Above Moderate",7.04545454545455,3,198
"3","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1953,3,4,7,8.66666666666667,"Wet",7.04545454545455,3,198
"4","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1954,3,4,7,2.33333333333333,"Dry",7.04545454545455,3,198
"5","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1955,3,4,7,5.33333333333333,"Above Moderate",7.04545454545455,3,198
"6","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1956,3,4,7,4,"Above Moderate",7.04545454545455,3,198
"7","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1957,3,4,7,3,"Below Moderate",7.04545454545455,3,198
"8","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1958,3,4,7,8.66666666666667,"Wet",7.04545454545455,3,198
"9","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1959,3,4,7,7.33333333333333,"Wet",7.04545454545455,3,198
"10","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1960,3,4,7,3,"Below Moderate",7.04545454545455,3,198
"11","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1961,3,4,7,3.33333333333333,"Below Moderate",7.04545454545455,3,198
"12","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1962,3,4,7,3.33333333333333,"Below Moderate",7.04545454545455,3,198
"13","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1963,3,4,7,5,"Above Moderate",7.04545454545455,3,198
"14","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1964,3,4,7,4.33333333333333,"Above Moderate",7.04545454545455,3,198
"15","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1965,3,4,7,2.33333333333333,"Dry",7.04545454545455,3,198
"16","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1966,3,4,7,56.6666666666667,"Wet",7.04545454545455,3,198
"17","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1967,3,4,7,21.3333333333333,"Wet",7.04545454545455,3,198
"18","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1968,3,4,7,12.3333333333333,"Wet",7.04545454545455,3,198
"19","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1969,3,4,7,4,"Above Moderate",7.04545454545455,3,198
"20","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1970,3,4,7,9.66666666666667,"Wet",7.04545454545455,3,198
"21","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1971,3,4,7,9.66666666666667,"Wet",7.04545454545455,3,198
"22","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1972,3,4,7,8,"Wet",7.04545454545455,3,198
"23","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1973,3,4,7,3.33333333333333,"Below Moderate",7.04545454545455,3,198
"24","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1974,3,4,7,6,"Above Moderate",7.04545454545455,3,198
"25","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1975,3,4,7,4,"Above Moderate",7.04545454545455,3,198
"26","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1976,3,4,7,4,"Above Moderate",7.04545454545455,3,198
"27","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1977,3,4,7,5.66666666666667,"Above Moderate",7.04545454545455,3,198
"28","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1978,3,4,7,8,"Wet",7.04545454545455,3,198
