"","USGS_GAGE","COMID","STATION_NA","Water_Year","Q1","Q2","Q3","Mean_Annual_Flow","WYT","POR_avg_annual_flow","Count_water_months","Count_monthlyavg"
"1","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1950,6,11,23,7.33333333333333,"Below Moderate",27.9393939393939,3,198
"2","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1951,6,11,23,2.66666666666667,"Dry",27.9393939393939,3,198
"3","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1952,6,11,23,25.6666666666667,"Wet",27.9393939393939,3,198
"4","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1953,6,11,23,8,"Below Moderate",27.9393939393939,3,198
"5","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1954,6,11,23,14,"Above Moderate",27.9393939393939,3,198
"6","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1955,6,11,23,10.3333333333333,"Below Moderate",27.9393939393939,3,198
"7","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1956,6,11,23,9.33333333333333,"Below Moderate",27.9393939393939,3,198
"8","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1957,6,11,23,11.6666666666667,"Above Moderate",27.9393939393939,3,198
"9","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1958,6,11,23,33,"Wet",27.9393939393939,3,198
"10","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1959,6,11,23,10.3333333333333,"Below Moderate",27.9393939393939,3,198
"11","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1960,6,11,23,5,"Dry",27.9393939393939,3,198
"12","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1961,6,11,23,3.66666666666667,"Dry",27.9393939393939,3,198
"13","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1962,6,11,23,39,"Wet",27.9393939393939,3,198
"14","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1963,6,11,23,5.33333333333333,"Dry",27.9393939393939,3,198
"15","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1964,6,11,23,4,"Dry",27.9393939393939,3,198
"16","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1965,6,11,23,3.33333333333333,"Dry",27.9393939393939,3,198
"17","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1966,6,11,23,39.6666666666667,"Wet",27.9393939393939,3,198
"18","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1967,6,11,23,21.6666666666667,"Above Moderate",27.9393939393939,3,198
"19","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1968,6,11,23,13.3333333333333,"Above Moderate",27.9393939393939,3,198
"20","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1969,6,11,23,172,"Wet",27.9393939393939,3,198
"21","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1970,6,11,23,14.3333333333333,"Above Moderate",27.9393939393939,3,198
"22","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1971,6,11,23,12.3333333333333,"Above Moderate",27.9393939393939,3,198
"23","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1972,6,11,23,10,"Below Moderate",27.9393939393939,3,198
"24","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1973,6,11,23,22.3333333333333,"Above Moderate",27.9393939393939,3,198
"25","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1974,6,11,23,15.6666666666667,"Above Moderate",27.9393939393939,3,198
"26","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1975,6,11,23,8,"Below Moderate",27.9393939393939,3,198
"27","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1976,6,11,23,8.66666666666667,"Below Moderate",27.9393939393939,3,198
"28","10263500",22684930,"BIG ROCK C NR VALYERMO CA",1977,6,11,23,6.66666666666667,"Below Moderate",27.9393939393939,3,198
